player,market,line,bookmaker,odds,est_win_prob,side,ev
Myles Turner,player_points,18.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Tyrese Haliburton,player_points,18.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Sam Merrill,player_points,7.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Sam Merrill,player_points,7.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Karl-Anthony Towns,player_points,21.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Karl-Anthony Towns,player_points,21.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Jarrett Allen,player_points,15.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Max Strus,player_points,8.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Max Strus,player_points,8.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Donovan Mitchell,player_points,25.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Donovan Mitchell,player_points,25.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Karl-Anthony Towns,player_points,21.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Karl-Anthony Towns,player_points,21.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Tyrese Haliburton,player_points,18.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Aaron Nesmith,player_points,7.5,Fliff,2,0.5024630541871921,under,-0.4874876847290641
Myles Turner,player_points,19.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Seth Curry,player_points,15.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Donovan Mitchell,player_points,25.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Donovan Mitchell,player_points,25.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Karl-Anthony Towns,player_points,22.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,Caesars,2,0.5024630541871921,under,-0.4874876847290641
Max Strus,player_points,8.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Max Strus,player_points,8.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Tyrese Haliburton,player_points,18.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Tyrese Haliburton,player_points,18.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Myles Turner,player_points,18.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Max Strus,player_points,8.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Max Strus,player_points,8.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Donovan Mitchell,player_points,25.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Donovan Mitchell,player_points,25.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Karl-Anthony Towns,player_points,22.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,Caesars,2,0.5024630541871921,under,-0.4874876847290641
Jarrett Allen,player_points,15.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Seth Curry,player_points,15.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Aaron Nesmith,player_points,7.5,Fliff,2,0.5024630541871921,under,-0.4874876847290641
Myles Turner,player_points,18.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Tyrese Haliburton,player_points,18.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Tyrese Haliburton,player_points,18.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Andrew Nembhard,player_points,6.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Andrew Nembhard,player_points,6.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Myles Turner,player_points,18.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Domantas Sabonis,player_points,21.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Zach LaVine,player_points,18.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Evan Mobley,player_points,12.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Sam Merrill,player_points,7.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Sam Merrill,player_points,7.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Andrew Nembhard,player_points,6.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Andrew Nembhard,player_points,6.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Thomas Bryant,player_points,6.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Myles Turner,player_points,19.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Alex Sarr,player_points,16.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Zach LaVine,player_points,18.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Domantas Sabonis,player_points,21.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Alex Sarr,player_points,18.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Malik Monk,player_points,14.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
AJ Johnson,player_points,16.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
AJ Johnson,player_points,16.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Justin Champagnie,player_points,7.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Trey Lyles,player_points,1.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Trey Lyles,player_points,1.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
AJ Johnson,player_points,16.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
AJ Johnson,player_points,16.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Jonas Valanciunas,player_points,11.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
DeMar DeRozan,player_points,14.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Alex Sarr,player_points,16.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Jordan Poole,player_points,26.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
AJ Johnson,player_points,16.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
AJ Johnson,player_points,16.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Domantas Sabonis,player_points,20.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Malik Monk,player_points,14.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Trey Lyles,player_points,1.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Trey Lyles,player_points,1.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Domantas Sabonis,player_points,20.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Domantas Sabonis,player_points,21.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Zach LaVine,player_points,18.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Keegan Murray,player_points,16.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,Caesars,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
De'Andre Hunter,player_points,14.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Donovan Mitchell,player_points,25.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Donovan Mitchell,player_points,25.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,Caesars,2,0.5024630541871921,under,-0.4874876847290641
Max Strus,player_points,8.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Max Strus,player_points,8.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Max Strus,player_points,8.5,FanDuel,2,0.5024630541871921,under,-0.4874876847290641
Max Strus,player_points,8.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Karl-Anthony Towns,player_points,21.5,ESPN BET,2,0.5024630541871921,under,-0.4874876847290641
Karl-Anthony Towns,player_points,21.5,Hard Rock Bet,2,0.5024630541871921,under,-0.4874876847290641
Jarrett Allen,player_points,15.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Karl-Anthony Towns,player_points,22.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
Jarrett Allen,player_points,15.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,Fanatics,2,0.5024630541871921,under,-0.4874876847290641
Mikal Bridges,player_points,12.5,DraftKings,2,0.5024630541871921,under,-0.4874876847290641
DeMar DeRozan,player_points,14.5,Fanatics,2,0.5,over,-0.49
Zach LaVine,player_points,18.5,DraftKings,2,0.5,under,-0.49
Zach LaVine,player_points,18.5,ESPN BET,2,0.5,over,-0.49
Zach LaVine,player_points,18.5,Hard Rock Bet,2,0.5,over,-0.49
DeMar DeRozan,player_points,14.5,FanDuel,2,0.5,under,-0.49
Zach LaVine,player_points,18.5,DraftKings,2,0.5,under,-0.49
Tyrese Haliburton,player_points,19.5,Fanatics,2,0.49753694581280783,over,-0.49251231527093603
Aaron Nesmith,player_points,7.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Karl-Anthony Towns,player_points,21.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Sam Merrill,player_points,7.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Max Strus,player_points,8.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Landry Shamet,player_points,8.5,DraftKings,2,0.49753694581280783,over,-0.49251231527093603
Max Strus,player_points,8.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Delon Wright,player_points,9.5,DraftKings,2,0.49753694581280783,over,-0.49251231527093603
AJ Johnson,player_points,16.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
AJ Johnson,player_points,16.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
Delon Wright,player_points,9.5,DraftKings,2,0.49753694581280783,over,-0.49251231527093603
Tyrese Haliburton,player_points,18.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Justin Champagnie,player_points,6.5,Fanatics,2,0.49753694581280783,over,-0.49251231527093603
Malik Monk,player_points,17.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Keegan Murray,player_points,16.5,Fanatics,1,0.5024630541871921,over,-0.49251231527093603
DeMar DeRozan,player_points,14.5,Fanatics,2,0.49753694581280783,over,-0.49251231527093603
Sam Merrill,player_points,7.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Landry Shamet,player_points,8.5,DraftKings,2,0.49753694581280783,over,-0.49251231527093603
Myles Turner,player_points,19.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
Tyrese Haliburton,player_points,19.5,Fanatics,2,0.49753694581280783,over,-0.49251231527093603
Domantas Sabonis,player_points,21.5,Fanatics,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,Fanatics,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,Fanatics,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,Fanatics,1,0.5024630541871921,over,-0.49251231527093603
Jordan Poole,player_points,26.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Alex Sarr,player_points,16.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
Alex Sarr,player_points,16.5,Fanatics,1,0.5024630541871921,over,-0.49251231527093603
Zach LaVine,player_points,18.5,Fanatics,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,14.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Jonas Valanciunas,player_points,11.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
Myles Turner,player_points,19.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
Thomas Bryant,player_points,6.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Andrew Nembhard,player_points,6.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Andrew Nembhard,player_points,6.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
DeMar DeRozan,player_points,14.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
Domantas Sabonis,player_points,21.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Malik Monk,player_points,16.5,DraftKings,2,0.49753694581280783,over,-0.49251231527093603
Malik Monk,player_points,16.5,DraftKings,2,0.49753694581280783,over,-0.49251231527093603
Keegan Murray,player_points,16.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Zach LaVine,player_points,18.5,DraftKings,1,0.5024630541871921,over,-0.49251231527093603
Miles Bridges,player_points,21.5,ESPN BET,2,0.49753694581280783,over,-0.49251231527093603
Miles Bridges,player_points,21.5,ESPN BET,2,0.49753694581280783,over,-0.49251231527093603
Miles Bridges,player_points,21.5,ESPN BET,2,0.49753694581280783,over,-0.49251231527093603
Miles Bridges,player_points,21.5,ESPN BET,2,0.49753694581280783,over,-0.49251231527093603
Miles Bridges,player_points,21.5,ESPN BET,2,0.49753694581280783,over,-0.49251231527093603
Andrew Nembhard,player_points,6.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Andrew Nembhard,player_points,6.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Myles Turner,player_points,18.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Carlton Carrington,player_points,11.5,DraftKings,2,0.49753694581280783,over,-0.49251231527093603
Malik Monk,player_points,14.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Thomas Bryant,player_points,7.5,Hard Rock Bet,2,0.49753694581280783,over,-0.49251231527093603
Keegan Murray,player_points,16.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Domantas Sabonis,player_points,20.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
AJ Johnson,player_points,16.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
AJ Johnson,player_points,16.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Tyrese Haliburton,player_points,18.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Tyrese Haliburton,player_points,18.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Aaron Nesmith,player_points,7.5,Fliff,1,0.5024630541871921,over,-0.49251231527093603
Myles Turner,player_points,18.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Domantas Sabonis,player_points,20.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Zach LaVine,player_points,18.5,ESPN BET,2,0.49753694581280783,over,-0.49251231527093603
Zach LaVine,player_points,18.5,ESPN BET,2,0.49753694581280783,over,-0.49251231527093603
Keegan Murray,player_points,16.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Zach LaVine,player_points,18.5,ESPN BET,2,0.49753694581280783,over,-0.49251231527093603
Zach LaVine,player_points,18.5,ESPN BET,2,0.49753694581280783,over,-0.49251231527093603
Trey Lyles,player_points,1.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Trey Lyles,player_points,1.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Zach LaVine,player_points,18.5,Hard Rock Bet,2,0.49753694581280783,over,-0.49251231527093603
Zach LaVine,player_points,18.5,Hard Rock Bet,2,0.49753694581280783,over,-0.49251231527093603
Zach LaVine,player_points,18.5,Hard Rock Bet,2,0.49753694581280783,over,-0.49251231527093603
Zach LaVine,player_points,18.5,Hard Rock Bet,2,0.49753694581280783,over,-0.49251231527093603
KJ Simpson,player_points,10.5,Fliff,2,0.49753694581280783,over,-0.49251231527093603
Seth Curry,player_points,15.5,Fliff,1,0.5024630541871921,over,-0.49251231527093603
Myles Turner,player_points,18.5,Fliff,1,0.5024630541871921,over,-0.49251231527093603
Tyrese Haliburton,player_points,18.5,Fliff,1,0.5024630541871921,over,-0.49251231527093603
Tyrese Haliburton,player_points,18.5,Fliff,1,0.5024630541871921,over,-0.49251231527093603
Domantas Sabonis,player_points,21.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
Trey Lyles,player_points,1.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Trey Lyles,player_points,1.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Justin Champagnie,player_points,7.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
AJ Johnson,player_points,16.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
AJ Johnson,player_points,16.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Keegan Murray,player_points,16.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Malik Monk,player_points,14.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Alex Sarr,player_points,18.5,ESPN BET,1,0.5024630541871921,over,-0.49251231527093603
Tyrese Haliburton,player_points,20.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Seth Curry,player_points,15.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
Mark Williams,player_points,16.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Precious Achiuwa,player_points,8.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Evan Mobley,player_points,12.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
Landry Shamet,player_points,8.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Landry Shamet,player_points,8.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Zach LaVine,player_points,18.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
Donovan Mitchell,player_points,25.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
Donovan Mitchell,player_points,25.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
De'Andre Hunter,player_points,14.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
De'Andre Hunter,player_points,14.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
De'Andre Hunter,player_points,14.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
Mikal Bridges,player_points,12.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
Mikal Bridges,player_points,12.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
Mikal Bridges,player_points,12.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
Jarrett Allen,player_points,15.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
Karl-Anthony Towns,player_points,22.5,Caesars,1,0.5024630541871921,over,-0.49251231527093603
Josh Hart,player_points,17.5,Hard Rock Bet,2,0.49753694581280783,over,-0.49251231527093603
Josh Hart,player_points,17.5,Hard Rock Bet,2,0.49753694581280783,over,-0.49251231527093603
Josh Hart,player_points,17.5,Hard Rock Bet,2,0.49753694581280783,over,-0.49251231527093603
Josh Hart,player_points,17.5,Hard Rock Bet,2,0.49753694581280783,over,-0.49251231527093603
Josh Hart,player_points,17.5,Hard Rock Bet,2,0.49753694581280783,over,-0.49251231527093603
Jarrett Allen,player_points,15.5,Hard Rock Bet,1,0.5024630541871921,over,-0.49251231527093603
Max Strus,player_points,8.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
Donovan Mitchell,player_points,24.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Sam Merrill,player_points,7.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
Sam Merrill,player_points,7.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
De'Andre Hunter,player_points,14.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
De'Andre Hunter,player_points,14.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
De'Andre Hunter,player_points,14.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
Josh Hart,player_points,17.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Josh Hart,player_points,17.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Josh Hart,player_points,17.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Josh Hart,player_points,17.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Josh Hart,player_points,17.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Donovan Mitchell,player_points,25.5,Fanatics,1,0.5024630541871921,over,-0.49251231527093603
Donovan Mitchell,player_points,25.5,Fanatics,1,0.5024630541871921,over,-0.49251231527093603
Delon Wright,player_points,9.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Delon Wright,player_points,9.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Delon Wright,player_points,9.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Delon Wright,player_points,9.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Delon Wright,player_points,9.5,FanDuel,2,0.49753694581280783,over,-0.49251231527093603
Max Strus,player_points,8.5,FanDuel,1,0.5024630541871921,over,-0.49251231527093603
Darius Garland,player_points,15.5,Hard Rock Bet,2,0.49753694581280783,over,-0.49251231527093603
