player,market,side,line,odds,bookmaker,implied_prob,fair_prob_over,fair_prob,ev,flag
Cason Wallace,player_assists,under,4.5,2.95,DraftKings,0.3389830508474576,0.5267857142857143,0.4732142857142857,0.39598214285714284,ðŸ”¥ VALUE
Cason Wallace,player_assists,over,4.5,2.65,Hard Rock Bet,0.37735849056603776,0.5267857142857143,0.5267857142857143,0.39598214285714284,ðŸ”¥ VALUE
Russell Westbrook,player_assists,over,7.5,2.45,Hard Rock Bet,0.4081632653061224,0.44191343963553525,0.44191343963553525,0.08268792710706152,ðŸ”¥ VALUE
Russell Westbrook,player_assists,under,7.5,1.94,FanDuel,0.5154639175257733,0.44191343963553525,0.5580865603644647,0.08268792710706152,ðŸ”¥ VALUE
Jalen Pickett,player_rebounds,under,11.5,2.54,FanDuel,0.39370078740157477,0.5812356979405034,0.41876430205949655,0.06366132723112128,ðŸ”¥ VALUE
Jalen Pickett,player_rebounds,over,11.5,1.83,DraftKings,0.5464480874316939,0.5812356979405034,0.5812356979405034,0.06366132723112128,ðŸ”¥ VALUE
Jalen Pickett,player_rebounds,over,11.5,1.8,Hard Rock Bet,0.5555555555555556,0.5812356979405034,0.5812356979405034,0.046224256292906274,
DeAndre Jordan,player_points,over,9.5,1.83,DraftKings,0.5464480874316939,0.5694117647058824,0.5694117647058824,0.04202352941176479,
DeAndre Jordan,player_points,under,9.5,2.42,FanDuel,0.4132231404958678,0.5694117647058824,0.4305882352941176,0.04202352941176457,
Cason Wallace,player_points,under,12.5,2.05,Hard Rock Bet,0.48780487804878053,0.49397590361445776,0.5060240963855422,0.0373493975903616,
Cason Wallace,player_points,over,12.5,2.1,Fanatics,0.47619047619047616,0.49397590361445776,0.49397590361445776,0.03734939759036138,
Ausar Thompson,player_assists,under,2.5,1.7,DraftKings,0.5882352941176471,0.39080459770114945,0.6091954022988506,0.03563218390804601,
Ausar Thompson,player_assists,over,2.5,2.65,Hard Rock Bet,0.37735849056603776,0.39080459770114945,0.39080459770114945,0.03563218390804601,
Jalen Duren,player_rebounds,under,12.5,1.95,Hard Rock Bet,0.5128205128205129,0.47445255474452547,0.5255474452554745,0.02481751824817513,
Jalen Duren,player_rebounds,over,12.5,2.16,FanDuel,0.4629629629629629,0.47445255474452547,0.47445255474452547,0.02481751824817513,
Jalen Duren,player_rebounds,under,12.5,1.95,ESPN BET,0.5128205128205129,0.47445255474452547,0.5255474452554745,0.02481751824817513,
Jalen Duren,player_assists,over,2.5,2.2,FanDuel,0.45454545454545453,0.464720194647202,0.464720194647202,0.022384428223844566,
Jalen Duren,player_assists,under,2.5,1.91,Hard Rock Bet,0.5235602094240838,0.464720194647202,0.5352798053527981,0.022384428223844344,
Jalen Duren,player_assists,under,2.5,1.91,DraftKings,0.5235602094240838,0.464720194647202,0.5352798053527981,0.022384428223844344,
Tobias Harris,player_assists,over,3.5,2.6,Hard Rock Bet,0.3846153846153846,0.3925233644859813,0.3925233644859813,0.020560747663551426,
Tobias Harris,player_assists,under,3.5,1.68,DraftKings,0.5952380952380952,0.3925233644859813,0.6074766355140186,0.020560747663551204,
